epoch,addr,purpose,date,amount,Expiration,AvailableAt
452,94e8a4d1c409af5498095aafa61edb23fdbd9714f45d104cbe148425,SP reward for iBTC,2023-11-27,20304,29-02-2024 21:45,01-12-2023 23:00
452,4652c04766dfb925145dd332a511ae47fc2404afe0bebeee3627a71a,SP reward for iBTC,2023-11-27,765,29-02-2024 21:45,01-12-2023 23:00
452,b116a13787a0e3908128fb3d218193ebbe31f14bb1564e3b17e56474,SP reward for iBTC,2023-11-27,568,29-02-2024 21:45,01-12-2023 23:00
452,f8dc2687e7efb9814a0258337bbead8dbcf6dac7a0237e3b600f404d,SP reward for iBTC,2023-11-27,4675,29-02-2024 21:45,01-12-2023 23:00
452,2774b527cc66118eeb772ca5553089dc2f9d0a675d5d4bb0615afa56,SP reward for iBTC,2023-11-27,15,29-02-2024 21:45,01-12-2023 23:00
452,2ce68896a2812bcceaeea3837e33e4d24b1c88151c1a0b6cd02b182d,SP reward for iBTC,2023-11-27,9518,29-02-2024 21:45,01-12-2023 23:00
452,559d23a5db8f1b809ba9b48e7504582c96af34f68495f3ed51b2cce5,SP reward for iBTC,2023-11-27,20559,29-02-2024 21:45,01-12-2023 23:00
452,625a80682693f31e617ecbd92d269d226fd5ebd2f8584ef00577a658,SP reward for iBTC,2023-11-27,3685,29-02-2024 21:45,01-12-2023 23:00
452,baeeed00be50eeef2fc6f4089780abd4fc3cc461052fe8f271fd93b4,SP reward for iBTC,2023-11-27,5753,29-02-2024 21:45,01-12-2023 23:00
452,f1edb36c4546c43d547ef1568ab271ca79841977d8816f6f85cffd09,SP reward for iBTC,2023-11-27,7,29-02-2024 21:45,01-12-2023 23:00
452,2797b6e8e72817175772048734122bdfb686c41776318690f1cc5f79,SP reward for iBTC,2023-11-27,7,29-02-2024 21:45,01-12-2023 23:00
452,d522cfaab057a5a8aed4e83723ae0fa5150f007e009aab2e77659701,SP reward for iBTC,2023-11-27,102,29-02-2024 21:45,01-12-2023 23:00
452,903d332a30ff8a7beb13268a99e2fdd35e8a7f20368edda4416158e3,SP reward for iBTC,2023-11-27,83217,29-02-2024 21:45,01-12-2023 23:00
452,ed3122194af84dbc350676f420b1927209b40cf0d239ec26a5cc8623,SP reward for iBTC,2023-11-27,92116,29-02-2024 21:45,01-12-2023 23:00
452,2e1573f020d7dc42fb1befd459287f0e620fb799cee111e43c50d676,SP reward for iBTC,2023-11-27,9839,29-02-2024 21:45,01-12-2023 23:00
452,bffe2a2f3dde97b96f94f5cdde3957828c61db930faba0e4b2afbb46,SP reward for iBTC,2023-11-27,11470,29-02-2024 21:45,01-12-2023 23:00
452,12f5110ed7d627702788e4e38eaee59c8a22b5df19ed9ec664a82738,SP reward for iBTC,2023-11-27,4712,29-02-2024 21:45,01-12-2023 23:00
452,fd604bfce2089228bb84742efa2a90ad7f678753149f4949b376143f,SP reward for iBTC,2023-11-27,66,29-02-2024 21:45,01-12-2023 23:00
452,435ac6984516a80bf6a9e7d16ba8431add7b4f44083131ab8dce0097,SP reward for iBTC,2023-11-27,35051,29-02-2024 21:45,01-12-2023 23:00
452,df3ed3c34530edc62131484128ad73c4a256a8974d6a52ec845b64ed,SP reward for iBTC,2023-11-27,6299,29-02-2024 21:45,01-12-2023 23:00
452,847fe7a38c4292370b7254e6da0d9684769b31a10040e8f8ecf9686b,SP reward for iBTC,2023-11-27,9118,29-02-2024 21:45,01-12-2023 23:00
452,ce6885bef0ae899503bec94142f5c2d8f8d25973ddb50e1c5dca5c1e,SP reward for iBTC,2023-11-27,4231,29-02-2024 21:45,01-12-2023 23:00
452,41c36d3ddc84ef66b56f1a8ad1bd87779262caeab0b0ec2ba129dbbc,SP reward for iBTC,2023-11-27,161584,29-02-2024 21:45,01-12-2023 23:00
452,89d095d531c5d92be599e65bfe27c44652b2cf99b72a332427e9d8a2,SP reward for iBTC,2023-11-27,10509,29-02-2024 21:45,01-12-2023 23:00
