,Period,Address,Purpose,Date,Amount,Expiration,AvailableAt
0,453,94e8a4d1c409af5498095aafa61edb23fdbd9714f45d104cbe148425,SP reward for iBTC,2023-12-02,20473,2024-03-05 21:45,2023-12-06 23:00
1,453,4652c04766dfb925145dd332a511ae47fc2404afe0bebeee3627a71a,SP reward for iBTC,2023-12-02,771,2024-03-05 21:45,2023-12-06 23:00
2,453,b116a13787a0e3908128fb3d218193ebbe31f14bb1564e3b17e56474,SP reward for iBTC,2023-12-02,573,2024-03-05 21:45,2023-12-06 23:00
3,453,f8dc2687e7efb9814a0258337bbead8dbcf6dac7a0237e3b600f404d,SP reward for iBTC,2023-12-02,4714,2024-03-05 21:45,2023-12-06 23:00
4,453,2774b527cc66118eeb772ca5553089dc2f9d0a675d5d4bb0615afa56,SP reward for iBTC,2023-12-02,15,2024-03-05 21:45,2023-12-06 23:00
5,453,2ce68896a2812bcceaeea3837e33e4d24b1c88151c1a0b6cd02b182d,SP reward for iBTC,2023-12-02,9598,2024-03-05 21:45,2023-12-06 23:00
6,453,559d23a5db8f1b809ba9b48e7504582c96af34f68495f3ed51b2cce5,SP reward for iBTC,2023-12-02,20730,2024-03-05 21:45,2023-12-06 23:00
7,453,625a80682693f31e617ecbd92d269d226fd5ebd2f8584ef00577a658,SP reward for iBTC,2023-12-02,3716,2024-03-05 21:45,2023-12-06 23:00
8,453,baeeed00be50eeef2fc6f4089780abd4fc3cc461052fe8f271fd93b4,SP reward for iBTC,2023-12-02,5801,2024-03-05 21:45,2023-12-06 23:00
9,453,f1edb36c4546c43d547ef1568ab271ca79841977d8816f6f85cffd09,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
10,453,2797b6e8e72817175772048734122bdfb686c41776318690f1cc5f79,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
11,453,d522cfaab057a5a8aed4e83723ae0fa5150f007e009aab2e77659701,SP reward for iBTC,2023-12-02,103,2024-03-05 21:45,2023-12-06 23:00
12,453,903d332a30ff8a7beb13268a99e2fdd35e8a7f20368edda4416158e3,SP reward for iBTC,2023-12-02,83912,2024-03-05 21:45,2023-12-06 23:00
13,453,ed3122194af84dbc350676f420b1927209b40cf0d239ec26a5cc8623,SP reward for iBTC,2023-12-02,92886,2024-03-05 21:45,2023-12-06 23:00
14,453,2e1573f020d7dc42fb1befd459287f0e620fb799cee111e43c50d676,SP reward for iBTC,2023-12-02,9921,2024-03-05 21:45,2023-12-06 23:00
15,453,12f5110ed7d627702788e4e38eaee59c8a22b5df19ed9ec664a82738,SP reward for iBTC,2023-12-02,4751,2024-03-05 21:45,2023-12-06 23:00
16,453,fd604bfce2089228bb84742efa2a90ad7f678753149f4949b376143f,SP reward for iBTC,2023-12-02,66,2024-03-05 21:45,2023-12-06 23:00
17,453,435ac6984516a80bf6a9e7d16ba8431add7b4f44083131ab8dce0097,SP reward for iBTC,2023-12-02,35343,2024-03-05 21:45,2023-12-06 23:00
18,453,df3ed3c34530edc62131484128ad73c4a256a8974d6a52ec845b64ed,SP reward for iBTC,2023-12-02,6352,2024-03-05 21:45,2023-12-06 23:00
19,453,ce6885bef0ae899503bec94142f5c2d8f8d25973ddb50e1c5dca5c1e,SP reward for iBTC,2023-12-02,4266,2024-03-05 21:45,2023-12-06 23:00
20,453,41c36d3ddc84ef66b56f1a8ad1bd87779262caeab0b0ec2ba129dbbc,SP reward for iBTC,2023-12-02,162934,2024-03-05 21:45,2023-12-06 23:00
21,453,89d095d531c5d92be599e65bfe27c44652b2cf99b72a332427e9d8a2,SP reward for iBTC,2023-12-02,10596,2024-03-05 21:45,2023-12-06 23:00
22,453,f18f251f8eddc1825371c53d9fdd05d62aad37584a7b0f9e72cb0d5a,SP reward for iBTC,2023-12-02,14584,2024-03-05 21:45,2023-12-06 23:00
23,453,270a564190936d5e6199cd157798a1d802e05b5c4d69a756d02a4024,SP reward for iBTC,2023-12-02,1784,2024-03-05 21:45,2023-12-06 23:00
24,453,1bf3be13ff8e559f0aa594266d0cd164be15cd0fd1252943d97e1edb,SP reward for iBTC,2023-12-02,198,2024-03-05 21:45,2023-12-06 23:00
25,453,c7a34f1bdd69aee0196ba58d21999dd00a349820247b24041201649c,SP reward for iBTC,2023-12-02,9921,2024-03-05 21:45,2023-12-06 23:00
26,453,4e5426811df99e191ae0bc3eca64836e561a07d1623b16f94828240b,SP reward for iBTC,2023-12-02,73,2024-03-05 21:45,2023-12-06 23:00
27,453,d8432e121bd1d5bc137bcaecbece07f1793c31be59f83b18324c5606,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
28,453,bd8dc08c011f804f96be2b9d6a085b68cbfb7235b362f821e4bd996f,SP reward for iBTC,2023-12-02,7784,2024-03-05 21:45,2023-12-06 23:00
29,453,38182d9874dbabb161ffff5e21c81a58b8134ff7f34f2407903dba6c,SP reward for iBTC,2023-12-02,2915,2024-03-05 21:45,2023-12-06 23:00
30,453,77dbc24ca98002157cc36a53b2f84c3080d85cf1946c83fb47d6d86e,SP reward for iBTC,2023-12-02,316,2024-03-05 21:45,2023-12-06 23:00
31,453,e292dc90457553865ecf16f586d72185fe4ef1afb2dc708f7099e4dd,SP reward for iBTC,2023-12-02,22,2024-03-05 21:45,2023-12-06 23:00
32,453,222c33a3ddf56799694bb262eec3e8eea2b543200dc8c19cb05e91af,SP reward for iBTC,2023-12-02,808,2024-03-05 21:45,2023-12-06 23:00
33,453,4bc68e944b110d752d552bd07df288e2a21102e7fcb8f66bf0fa6b03,SP reward for iBTC,2023-12-02,11441,2024-03-05 21:45,2023-12-06 23:00
34,453,24be347acbb7713ebcd0f5b2b131f5d6ec0b9d48f4f142a0da648760,SP reward for iBTC,2023-12-02,786,2024-03-05 21:45,2023-12-06 23:00
35,453,1e55b5dd30127909ce59b07ec00664030565822c232536f659139900,SP reward for iBTC,2023-12-02,16199,2024-03-05 21:45,2023-12-06 23:00
36,453,85efbfc96dbff3982879b8689ec1c4755ea8e4b64281d1ac19a855f2,SP reward for iBTC,2023-12-02,1513,2024-03-05 21:45,2023-12-06 23:00
37,453,5c3d04a6fd9ff6f0ec72ef6f5213b307db3910cdec68ed15fab76aa7,SP reward for iBTC,2023-12-02,10758,2024-03-05 21:45,2023-12-06 23:00
38,453,6b5976099e509e58d6d3d04d10a63bdc511b3de937dd839cfb876076,SP reward for iBTC,2023-12-02,251494,2024-03-05 21:45,2023-12-06 23:00
39,453,5174ab849efa5337d220c79f849aa39ee378cd42b3ea9a2cc55ff905,SP reward for iBTC,2023-12-02,5831,2024-03-05 21:45,2023-12-06 23:00
40,453,929695c172f6c2841df1482161ec1a2716ee2f166c27c86b20736e71,SP reward for iBTC,2023-12-02,1843,2024-03-05 21:45,2023-12-06 23:00
41,453,9db8dbdfc35cd01248d7ef8b323d76a072cc6ccec45aca38ddd3f99c,SP reward for iBTC,2023-12-02,219044,2024-03-05 21:45,2023-12-06 23:00
42,453,db9b636e1b467ad9fa1c99c5820477f235d024c6079471192b750ce4,SP reward for iBTC,2023-12-02,37,2024-03-05 21:45,2023-12-06 23:00
43,453,3cdcafabe8d5a88419c7cb447f0467d81cd4086c97b489b49ddd0dca,SP reward for iBTC,2023-12-02,135088,2024-03-05 21:45,2023-12-06 23:00
44,453,01bb74d6a09834970c7e1cb6883cfaecbd3982e7fcc8d24116deaa84,SP reward for iBTC,2023-12-02,1799,2024-03-05 21:45,2023-12-06 23:00
45,453,30f71e8f66d9f908f0a47173cccb4127341e557e9f3d9d60e0d60178,SP reward for iBTC,2023-12-02,1075299,2024-03-05 21:45,2023-12-06 23:00
46,453,289cee24fb86dd5d5b6f02c8ca80397e03fa83c086d6e698e3ec330b,SP reward for iBTC,2023-12-02,235,2024-03-05 21:45,2023-12-06 23:00
47,453,61cc93b6feaaf71fb0a4133fc103134b9e0057b17a96b5b8ab064345,SP reward for iBTC,2023-12-02,42459,2024-03-05 21:45,2023-12-06 23:00
48,453,31352abda9a60e8a89222a049834cdd603dcc4fa2f9f3dbfc0a0b25f,SP reward for iBTC,2023-12-02,2981,2024-03-05 21:45,2023-12-06 23:00
49,453,73064ed9d446fe559dea6a5c0484f4c4876d91e1d7442109f6815770,SP reward for iBTC,2023-12-02,220,2024-03-05 21:45,2023-12-06 23:00
50,453,63b3889ebf65aba913b3ca44031d7b2c59b04b0727c3f2e67d52d034,SP reward for iBTC,2023-12-02,37,2024-03-05 21:45,2023-12-06 23:00
51,453,8b542601309e158b422074b4a53ec9aa0f09a0b50f58bce55a68b4a0,SP reward for iBTC,2023-12-02,1263,2024-03-05 21:45,2023-12-06 23:00
52,453,7bfcb0b4a3974232c21fe4440a2befb5aff58093e9582c9d447c1e0d,SP reward for iBTC,2023-12-02,15,2024-03-05 21:45,2023-12-06 23:00
53,453,4385f6e1941b54b06ddfad16a7d19ee7f713d9f4fd7d3d9334b9b566,SP reward for iBTC,2023-12-02,95,2024-03-05 21:45,2023-12-06 23:00
54,453,11b4ac68cf0d110247dc7d2bc139c92fd7a21af0a798a913e06fecd1,SP reward for iBTC,2023-12-02,37899,2024-03-05 21:45,2023-12-06 23:00
55,453,ae17e9f63022e30bddc7f2c9189140dfdc434af23e26f37f75394229,SP reward for iBTC,2023-12-02,6381,2024-03-05 21:45,2023-12-06 23:00
56,453,08abc365d15eb5a450ff8ed2a6207bfa3cb5a0df4ec1ddd0e6636026,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
57,453,53313be7f4738a1ad1554126858d052f318ccbf66d88b5016e9155d5,SP reward for iBTC,2023-12-02,338,2024-03-05 21:45,2023-12-06 23:00
58,453,8d995bf956bbf2a69b6549ca3a6830e9292b0d2641e9fa520d0f294d,SP reward for iBTC,2023-12-02,171408,2024-03-05 21:45,2023-12-06 23:00
59,453,5f9483631a382320cd149d20a120f71c1f8c7030b72408f44fccd795,SP reward for iBTC,2023-12-02,15,2024-03-05 21:45,2023-12-06 23:00
60,453,243143a1edf725605b078e3660ccf3ef4811e54ce8d70b04ae15a4b0,SP reward for iBTC,2023-12-02,4986,2024-03-05 21:45,2023-12-06 23:00
61,453,8ced098872686355fd3accc2329d595bf2ac9c6e7e981a8bc89d4540,SP reward for iBTC,2023-12-02,36151,2024-03-05 21:45,2023-12-06 23:00
62,453,6f860cd15e7d9a0fe71735b338fa4ad81e418ddaae95928bd2994fc1,SP reward for iBTC,2023-12-02,1896423,2024-03-05 21:45,2023-12-06 23:00
63,453,4647b9163e069f291328c22c76051780a8e8616e00354aa8cbc5cf6e,SP reward for iBTC,2023-12-02,7,2024-03-05 21:45,2023-12-06 23:00
64,453,222afda7939e082f26e12d2ce9cf584b44538b31a60e2e1f3f333821,SP reward for iBTC,2023-12-02,646,2024-03-05 21:45,2023-12-06 23:00
