owner,indy_staked
0abb6c8c4fbbb45d7ec22b09773f1ec94c6f7807a8a8613a60b1348b,55200803
5cdf84ad76fb735689a463f081ce64455d07208781b617297b622830,20000000
bea154f62b6917d101db620f33befb5f111ab157744941a9cf82086d,477170190
5472b179d96cebcae06812bbaf84376c78af678540e9ffff3be4de22,50200803
fae249fe9b9f81e676fa386c6e40f030575a4cd9ee967b97767a5add,106937328
aed15a9640ddb1ce9e762e05d762f697408271d99000dacc908eaf6f,55000000
4e036c22a66017b6812ae2714e328a1e467f248825f837d46ef42273,6849750
00c23272851a0a01e99fe2d78fc1195e7fcc4dfcee50e67faa81e9e2,19984236
d651ba5a9fa1534f863a2fcb6b286f00b72ba814a3ac498ce7329b4f,1309826
9ee8a6d78cfe08f711db707e4943b1ff84dd0b0d24afaa162d6ab7bc,314421617
0ec77531eed2fc259fbdb315937e2e94e8f988b21af6db8aeed1477f,20000000
a06113a3938ccb49b7ce16f9b2ab9111f914884df9c0caaa289937b8,50000000
cfac2849597e191f8ce7e3f3555150761a2f661beebc6537facb738a,104310442
11a264bd8da8b3a491a292e52b16b46c9308d79f7c8bc0d26b1c9007,48176014
118e1971cf74ab99eb803dab40d03ddbb36aa9fc9d849c8ae8665bd3,20000000
6ce98ddcb14709f0191f771216fcb60396091a4a004b691baa938fcb,185986742
54007dd63152ad9122e7bab424920e99fc9421ab02842f578cbfc909,51862577
ef1b8e5788243f98f97c531b88761b54587163b6478ac6ff99fe359e,78166375
3f6947729e3716f8d574291662fbbe0b5f12012b729e81b71e24f125,3605092
47a70e7e1e30fa7879992e6d45818928c30ae913cbebafaab2ce71f1,101159724
792e7d025df8f35166d580890e3ba2acd6cd267c10a86cb79f7690c5,24724344
ab58c0d60883d0faadb70a4d7afc496edbad843100ace9f364914342,5075773
2774b527cc66118eeb772ca5553089dc2f9d0a675d5d4bb0615afa56,108331918
520c457ae4eaf3b701ef53044439beb9bf38336fb0ea940e0ff1b94e,60153913
5a4fad55fdeabf0d0dfb5d4b75464bf5ee33a8f1edd2015dc0b39c24,86557358
9d80b9f4238f52c9fde7e7d8fbd39d1e68d713cb166cf74a94a277f5,55200803
44e24d780aeabeefa584edb5490833b252b7ffeaa1d2bbeb92e41394,721023165
e10d088abd5b08f58a16cc3ac32eedd30a584a14537785f7c382530f,519077243
76acdf55012635af253d2743b41d17dfa4459293ad2ba44104050c2b,3111362
222afda7939e082f26e12d2ce9cf584b44538b31a60e2e1f3f333821,7537001
97b34949bc90507dc43b603e6a0b032a7dedfffae48bbfbaa3fa188e,55200803
8d589e8e00fdadd913c2f769b43d341a03fc6ce5823456e7a3deaa01,12947849
c1103b9ae96ee270c61246bccde40b2618d2b4bd18d2f54e7f389961,123000000
d62f0f6680733a1151609ec79abd96cd2f16f771f68cf1ef3e125000,28761199
e48944300bfd7f08a14ec4aa51b0002095876e5b4c49148210f97e90,50200803
bdb8c089708bb3dd3c626bb9a286a3aacbf77517b9643161db4a1452,1000000
efe9452ded7cbf1f932a9216c7d85bdec5a2e9155e3a584336414115,47712638
ee51a274cfee8d4af313168a0d4e56b2e077b695121f9fdcea7ef2fe,79772970
e01c3445b0cb419904ece29143d8fb015d498e90c33f8052545ba1da,60000000
5a84b371c575408cf3248c93da89915d065c4196b90e3b731f56ea05,217551944
2f6e8d94a6abb81316eeda88b180faf28515315bd3763b606658d268,58556979
36fdda109bcf8bdfa210b945b44f0ea31e5500e23f46b7f67a5bf0fa,50000000
06efd1d2dfa9f2121644765e0bf1d3c2ccc3db6084ef3724de2e901c,50812040
5706ea516b1a0f350b6876b84e02317af4c8b886c74562d9d9cb1764,42811138
01d003f6bc6145753c74e94959c6ecba6cc1e488ee24c24d5cfc7dee,67986284
d9276de67208990e83fb2921bc61b9276a64a1cfed5225e3edf3e8d0,15400000
13a1d9bb7849716bd993b520f975175ae1b6720fec18dab37435d095,105630031
1a6ad2d19e7fdd03bd012f4a96cbfbbfe89183735cd8b16ac854a121,255000000
653389b93840ae7db1d4001ee26e576a3039e59fcb266d6b1f7bc89c,65494129
0f7f4e5408110ce76fdf5bf5a101afbb9a9ea8ba64e37bf9f5dc2f6d,55200803
36e441f8f0802b4833faaff12da90441d3c4458e00a6b8fc617d5233,147107716
47ae397a7fbfcf4e3ec5e628bfda2d3bf5a5e6f4bdc43226cf840f2e,20715050
554ec941fb4483a020554d84d430d5e015074f2754947c6394c4b215,238027103
bd7adeef28fe4dac020bd73ea7c095c9f634682f730d7ef6cd8d3a93,5000000
459c833e1a7547ffd56df2b61dc0deb0c93da2b86301d9701f38978f,373878998
9b6747eb7991dc0a8b5fa0192ce9431a85b2c64b3c4db6dd31415ea6,177456463
742e13aeb9130597e75cb1e4201368884b223a027760b1614ddcd514,55200803
2d2698946bc0f751dfc642bda9716d9c95065c4bb6aa23fa36379917,145682728
2af7e79b4c9ffc29fc6f7707b77609868df3f0af5b457272c59413b6,100477746
cf5a71377304beaa326262fbe9c2c4bdb79a2c9dd8b58587361d75d3,63423781
297a875e4ef78f68ce4962b478f389ca0c4f85b14ceebf841a51af1b,50000000
4d4246c81633efbd83760e559534edcc35830e9f84ad4fe9aa0c10ea,10000000
a047569358e6352e6713799b727eeb9f160256a74ab94a0ea8cd1e6d,60200803
63b3889ebf65aba913b3ca44031d7b2c59b04b0727c3f2e67d52d034,10041457
13f84654d1849786e058f664746ab5d064a1791a92bede515dda943c,5000000
aa8a6152ba9489457114006e698286a7ea29469640c1cf703db3d2fc,55200803
71b03bb1f2db64f230e74c08d8bee62313660b1bf9649fbc28f690bc,204342394
85b0ee43cfbbf07a8c7e5a6c1023e1005f4483721f25f4733a8ce11b,174200378
17e6192c507aa42939888c9354ab8ad76b387cdd923668c0999a198b,50200803
ec1b44fc79a230aa26947b8341a0649f049ecf26a48177a990efc430,25200803
e2759266f8550de0789d43375265e9c4f82c017e26b6f7275407acaf,146622780
826d2683285bc4a4de68fc10eb78f2631371f48a5d4c0af654badda0,60200803
18757feacba02e76aee75167b6184c2e3bec9df964aad5feae511632,5000000
cb4b49e034ac684ab686f3ec2ad725863a34e8b3f2c4d5facb3f5ecc,185159258
f3d34a6a18bd2ff8c6fd152f6e0d9d15c03a17f419d6ffec2fdb5372,23421905
af614ec30e88547605c2dde1770da1191d742d301aaf7f51b59d66f2,81000000
51efe629a2a27ed7854d11b8c1f5e47e5a2a502a73beb25aadc625fb,56213103
2722b73e6fdadd44d7e771dbde649d36ff3ac90277ce49b530355d3c,39130031
81b9a0a03bc7fdf55630aa5fccd232cb4ca6f971a11bb174d307852a,159446001
5ba42c2d64fcfe6fdfc93277b41e6d872049f90b4c29f2fd21e7c110,53589132
d241cab10e6a715e9f1c2caec558e97220c48e86b7c14609aa88e5df,5000000
5b1af46cec17d48b26b69b2e643ccd5bece471f4954aeb14bea90586,55200803
085e11996c8e8b9130172167a57884ea082e5424d0907f5be39ff71a,50000000
89fae6b961375b8fc1152761eb6e0c30cd8a90ab0134a738216642b8,56817236
6f4929b4cc2fd65c274d58dd1d08ddad02a9cc2e8f42e836f6f57d44,30000000
37659fd936489ba08c0f7122f30d034594d20804392ba14cd2a6d362,68802836
0cc3fd8d76cf6637dd2bcf040015bb20a7845bee40ac164df50254b6,59641600
45485769b739bb77f59c97caab96704353c0bedf7afb75094299b535,65200801
572254ed6963c27ad3b9775e1f6940ce15db15f6c4c31a48e9b66d80,1
